Chant_AiryAura	SAPPHIRE
Prayer_UndeadInvisibility	DRAGONSCALES
Spell_Advancement	PLATINUM
Spell_Anchor	LEAD
Spell_Blindness	FLINT
Spell_Blink	GEM
Spell_Blur	COTTON
Spell_ChangeSex	BONE
Spell_Choke	CACTUS
Spell_Clog	STONE
Spell_CombatPrecognition	STEEL
Spell_ComprehendLangs	HICKORY
Spell_Confusion	BARLEY
Spell_DeadenSmell	BLOOD
Spell_Deafness	COPPER
Spell_Delirium	FLOWERS
Spell_Delude	SILVER
Spell_DetectGold	GOLD
Spell_DetectHidden	TOPAZ
Spell_DetectInvisible	CLAY
Spell_DetectMagic	MAPLE
Spell_DetectMetal	TIN
Spell_DetectUndead	PEPPERS
Spell_DetectWater	FUR
Spell_DispelMagic	AQUAMARINE
Spell_FaerieFire	FLINT
Spell_Fear	GLASS
Spell_FeatherFall	FEATHERS
Spell_Feeblemind	SUGAR
Spell_FleshStone	STONE
Spell_Fly	FEATHERS
Spell_Frailty	CLAY
Spell_FreeMovement	BLOOD
Spell_Frenzy	COFFEEBEANS
Spell_GiantStrength	PLATINUM
Spell_GraceOfTheCat	PEARL
Spell_Haste	COFFEEBEANS
Spell_Hold	OBSIDIAN
Spell_Hunger	SILVER
Spell_Immunity	MITHRIL
Spell_ImprovedInvisibility	GLASS
Spell_Infravision	TIN
Spell_InsatiableThirst	SEAWEED
Spell_Invisibility	GLASS
Spell_IronGrip	IRON
Spell_Laughter	IRONWOOD
Spell_Light	SAND
Spell_LightSensitivity	ZINC
Spell_LowerResists	RICE
Spell_MageClaws	BONE
Spell_MagicalAura	MILK
Spell_ManaBurn	HICKORY
Spell_MindBlock	BALSA
Spell_MindFog	COAL
Spell_Mute	CHRYSOBERYL
Spell_Nightmare	BLOOD
Spell_Nondetection	JADE
Spell_ObscureSelf	BALSA
Spell_Polymorph	SCALES
Spell_ResistAcid	BRASS
Spell_ResistArrows	IRON
Spell_ResistCold	FUR
Spell_ResistDisease	AMETHYST
Spell_ResistElectricity	OAK
Spell_ResistFire	SCALES
Spell_ResistGas	LIMESTONE
Spell_ResistMagicMissiles	SCALES
Spell_ResistParalyzation	IVORY
Spell_ResistPetrification	GARNET
Spell_ResistPoison	GRANITE
Spell_Shield	BRASS
Spell_Sleep	SAND
Spell_Slow	VINE
Spell_Spook	BLOOD
Spell_Stoneskin	GRANITE
Spell_Tourettes	HOPS
Spell_WaterBreathing	SEAWEED
Spell_Weaken	HIDE
Spell_WeaknessAcid	RICE
Spell_WeaknessCold	CLAY
Spell_WeaknessElectricity	IRONWOOD
Spell_WeaknessFire	HICKORY
Spell_WeaknessGas	MARBLE
